start_year,n_trials,category
2000,1,Implant
2002,2,Implant
2003,4,Implant
2004,5,Implant
2005,12,Implant
2006,5,Implant
2007,10,Implant
2008,14,Implant
2009,19,Implant
2010,29,Implant
2011,25,Implant
2012,24,Implant
2013,34,Implant
2014,37,Implant
2015,36,Implant
2016,48,Implant
2017,70,Implant
2018,71,Implant
2019,104,Implant
2020,71,Implant
2021,97,Implant
2022,122,Implant
2023,116,Implant
2024,138,Implant
2003,1,Laser
2005,1,Laser
2006,1,Laser
2007,3,Laser
2009,1,Laser
2010,3,Laser
2011,3,Laser
2012,1,Laser
2013,5,Laser
2014,5,Laser
2015,7,Laser
2016,6,Laser
2017,11,Laser
2018,18,Laser
2019,7,Laser
2020,10,Laser
2021,9,Laser
2022,21,Laser
2023,16,Laser
2024,17,Laser
2008,1,AI
2010,1,AI
2013,1,AI
2014,1,AI
2016,2,AI
2019,2,AI
2020,1,AI
2021,8,AI
2022,7,AI
2023,10,AI
2024,21,AI
2009,1,CAD/CAM
2010,4,CAD/CAM
2012,1,CAD/CAM
2014,2,CAD/CAM
2015,1,CAD/CAM
2016,4,CAD/CAM
2017,7,CAD/CAM
2018,9,CAD/CAM
2019,12,CAD/CAM
2020,14,CAD/CAM
2021,13,CAD/CAM
2022,20,CAD/CAM
2023,26,CAD/CAM
2024,30,CAD/CAM
2013,1,Teledentistry
2014,1,Teledentistry
2021,1,Teledentistry
2022,2,Teledentistry
2023,2,Teledentistry
2024,1,Teledentistry
2017,1,Robotics
2023,6,Robotics
